Bed_file,Genomic_N,Overlap_N,Percentage_found
scz_imhs_asn_gb-qc.hg19.ch.fl.bgs.reid.bed,3716,131,0.035252960172228204
scz_umc1_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,298,250,0.8389261744966443
scz_cogs_all_gb-qc.hg19.ch.fl.bgs.reid.bed,566,0,0.0
scz_nefs_asn_gb-qc.hg19.ch.fl.bgs.reid.bed,2,1,0.5
scz_nef3_afr_gb-qc.hg19.ch.fl.bgs.reid.bed,6,6,1.0
scz_imhs_all_gb-qc.hg19.ch.fl.bgs.reid.bed,3716,131,0.035252960172228204
scz_cida_asn_gb-qc.hg19.ch.fl.bgs.reid.bed,16,13,0.8125
scz_nef1_afr_gb-qc.hg19.ch.fl.bgs.reid.bed,13,13,1.0
scz_mci1_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,30,30,1.0
scz_umc3_all_gb-qc.hg19.ch.fl.bgs.reid.bed,187,128,0.6844919786096256
scz_lanr_all_gb-qc.hg19.ch.fl.bgs.reid.bed,80,68,0.85
scz_mci3_all_gb-qc.hg19.ch.fl.bgs.reid.bed,49,49,1.0
scz_imh3_asn_gb-qc.hg19.ch.fl.bgs.reid.bed,73,54,0.7397260273972602
scz_camh_asn_gb-qc.hg19.ch.fl.bgs.reid.bed,27,22,0.8148148148148148
scz_usz2_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,375,375,1.0
scz_camh_all_gb-qc.hg19.ch.fl.bgs.reid.bed,220,191,0.8681818181818182
scz_paco_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,1066,0,0.0
scz_imjl_all_gb-qc.hg19.ch.fl.bgs.reid.bed,2732,0,0.0
scz_imh1_all_gb-qc.hg19.ch.fl.bgs.reid.bed,1894,27,0.014255543822597676
scz_nefs_afr_gb-qc.hg19.ch.fl.bgs.reid.bed,24,22,0.9166666666666666
scz_imh3_all_gb-qc.hg19.ch.fl.bgs.reid.bed,73,54,0.7397260273972602
scz_umc2_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,181,150,0.8287292817679558
scz_nef4_all_gb-qc.hg19.ch.fl.bgs.reid.bed,20,20,1.0
scz_imsk_all_gb-qc.hg19.ch.fl.bgs.reid.bed,984,131,0.133130081300813
scz_umc1_all_gb-qc.hg19.ch.fl.bgs.reid.bed,298,250,0.8389261744966443
scz_mgh1_all_gb-qc.hg19.ch.fl.bgs.reid.bed,66,66,1.0
scz_tcd2_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,565,243,0.4300884955752212
scz_lanr_afr_gb-qc.hg19.ch.fl.bgs.reid.bed,13,12,0.9230769230769231
scz_mci2_all_gb-qc.hg19.ch.fl.bgs.reid.bed,39,39,1.0
scz_nef3_all_gb-qc.hg19.ch.fl.bgs.reid.bed,59,59,1.0
scz_mcic_amr_gb-qc.hg19.ch.fl.bgs.reid.bed,19,18,0.9473684210526315
scz_lanr_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,61,51,0.8360655737704918
scz_gapl_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,122,36,0.29508196721311475
scz_usz1_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,153,153,1.0
scz_pac1_all_gb-qc.hg19.ch.fl.bgs.reid.bed,951,0,0.0
scz_cati_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,398,0,0.0
scz_umcu_all_gb-qc.hg19.ch.fl.bgs.reid.bed,666,528,0.7927927927927928
scz_pac2_all_gb-qc.hg19.ch.fl.bgs.reid.bed,115,0,0.0
scz_imsk_asn_gb-qc.hg19.ch.fl.bgs.reid.bed,984,131,0.133130081300813
scz_mci1_afr_gb-qc.hg19.ch.fl.bgs.reid.bed,14,14,1.0
scz_cogs_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,566,0,0.0
scz_tcin_all_gb-qc.hg19.ch.fl.bgs.reid.bed,202,202,1.0
scz_deco_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,365,103,0.2821917808219178
scz_camh_afr_gb-qc.hg19.ch.fl.bgs.reid.bed,12,8,0.6666666666666666
scz_phrs_all_gb-qc.hg19.ch.fl.bgs.reid.bed,55,41,0.7454545454545455
scz_imh4_asn_gb-qc.hg19.ch.fl.bgs.reid.bed,420,0,0.0
scz_nef3_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,52,52,1.0
scz_pac2_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,115,0,0.0
scz_mfsl_all_gb-qc.hg19.ch.fl.bgs.reid.bed,441,27,0.061224489795918366
scz_cati_asn_gb-qc.hg19.ch.fl.bgs.reid.bed,15,0,0.0
scz_mghb_asn_gb-qc.hg19.ch.fl.bgs.reid.bed,35,16,0.45714285714285713
scz_usz1_all_gb-qc.hg19.ch.fl.bgs.reid.bed,153,153,1.0
scz_cid1_afr_gb-qc.hg19.ch.fl.bgs.reid.bed,29,29,1.0
scz_cid1_all_gb-qc.hg19.ch.fl.bgs.reid.bed,101,101,1.0
scz_nef1_all_gb-qc.hg19.ch.fl.bgs.reid.bed,72,72,1.0
scz_tcin_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,202,202,1.0
scz_umc2_all_gb-qc.hg19.ch.fl.bgs.reid.bed,181,150,0.8287292817679558
scz_cati_amr_gb-qc.hg19.ch.fl.bgs.reid.bed,91,0,0.0
scz_nef2_all_gb-qc.hg19.ch.fl.bgs.reid.bed,4,4,1.0
scz_mcic_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,100,91,0.91
scz_tcd1_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,630,61,0.09682539682539683
scz_imh2_all_gb-qc.hg19.ch.fl.bgs.reid.bed,1777,74,0.04164321890827237
scz_deco_all_gb-qc.hg19.ch.fl.bgs.reid.bed,515,141,0.2737864077669903
scz_nefs_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,206,146,0.7087378640776699
scz_mgh2_afr_gb-qc.hg19.ch.fl.bgs.reid.bed,4,4,1.0
scz_mgh2_amr_gb-qc.hg19.ch.fl.bgs.reid.bed,3,3,1.0
scz_cid1_asn_gb-qc.hg19.ch.fl.bgs.reid.bed,6,6,1.0
scz_umc3_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,187,128,0.6844919786096256
scz_nef2_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,4,4,1.0
scz_phrs_afr_gb-qc.hg19.ch.fl.bgs.reid.bed,32,22,0.6875
sum_total,47162,9764,nan
